,Carballo,Zamora,Burdeos,Verona,Ausburgo,Amsterdam
Zaragoza,405.48,258.904,234.523,705.5625,815.998,776.096
Oporto,136.3875,151.724,498.546,1060.879,1123.7765,1040.119
Toulouse,759.89025,581.6805,183.80475,765.96075,931.614,882.97125
Lyon,1090.60425,912.3945,417.39075,448.57425,530.9865,694.608
Turin,889.3425,770.536,432.134,145.936,293.018,574.3115
Francfort,2069.469,1831.856,1171.851,791.609,361.708,441.01
Zurich,2820.726,2464.3065,1474.2975,646.611,429.1185,1225.938
