,Madrid,Barcelona Spain,Valladolid Spain,Panticosa Spain,Noja Spain
Bilbao,200,0,0,0,0
San Sebastian,0,100,0,0,0
Santander Spain,10,0,40,0,0
Valladolid Spain,0,0,0,0,0
Panticosa Spain,0,0,55,0,0
Noja Spain,0,0,5,0,0
